Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,FERGUSON/DUGGAN,,49erFX,3.0,G,34,,227.0,197.0,World Championship 2023,Race 2 Yellow
,,UTTERSTROM/BERNTSSON,,49erFX,28.0,G,55,,371.0,337.0,World Championship 2023,Race 2 Yellow
,,van AANHOLT/DUETZ,,49erFX,10.0,G,2,,114.0,84.0,World Championship 2023,Race 2 Yellow
,,MELZACKA/JANKOWIAK,,49erFX,5.0,G,22,,206.0,180.0,World Championship 2023,Race 2 Yellow
,,STALDER/SPERI,,49erFX,23.0,G,18,,173.0,143.0,World Championship 2023,Race 2 Yellow
,,LIM/LOW,,49erFX,21.0,G,41,,258.0,228.0,World Championship 2023,Race 2 Yellow
,,SCHEEL/FEILCKE,,49erFX,9.0,G,24,,216.0,190.0,World Championship 2023,Race 2 Yellow
,,HU/SHAN,,49erFX,17.0,G,17,,162.0,142.0,World Championship 2023,Race 2 Yellow
,,CHOI/di SALVO,,49erFX,27.0,G,54,,368.0,334.0,World Championship 2023,Race 2 Yellow
,,CZAPSKA/RAJCHERT,,49erFX,14.0,G,51,,350.0,316.0,World Championship 2023,Race 2 Yellow
,,PAIS/AUSMAN,,49erFX,26.0,G,47,,325.0,294.0,World Championship 2023,Race 2 Yellow
,,GERMANI/BERTUZZI,,49erFX,6.0,G,15,,155.0,138.0,World Championship 2023,Race 2 Yellow
,,HARDING/WILMOT,,49erFX,19.0,G,20,,193.0,169.0,World Championship 2023,Race 2 Yellow
,,SCHOUTEN/LODEWIJK,,49erFX,20.0,G,49,,347.0,315.0,World Championship 2023,Race 2 Yellow
,,MAENHAUT/GEURTS,,49erFX,2.0,G,4,,120.0,99.0,World Championship 2023,Race 2 Yellow
,,YAMAZAKI/TAKANO,,49erFX,11.0,G,33,,215.0,192.0,World Championship 2023,Race 2 Yellow
,,JOHANNESEN/NIELSBY CHRISTENSEN,,49erFX,16.0,G,39,,244.0,217.0,World Championship 2023,Race 2 Yellow
,,KEERS/JOBSON,,49erFX,13.0,G,37,,240.0,210.0,World Championship 2023,Race 2 Yellow
,,PRICE/HASELDINE,,49erFX,4.0,G,3,,111.0,88.0,World Championship 2023,Race 2 Yellow
,,CHEN/WANG,,49erFX,15.0,G,36,,241.0,207.0,World Championship 2023,Race 2 Yellow
,,BRICKWOOD/ORTON,,49erFX,18.0,G,27,,179.0,161.0,World Championship 2023,Race 2 Yellow
,,SCHULTHEIS/SCHULTHEIS,,49erFX,25.0,G,32,,219.0,185.0,World Championship 2023,Race 2 Yellow
,,SCHMIDT/SCHMIDT,,49erFX,1.0,G,10,,150.0,125.0,World Championship 2023,Race 2 Yellow
,,ALEH/MEECH,,49erFX,7.0,G,6,,124.0,106.0,World Championship 2023,Race 2 Yellow
